Symbol;date time;open;high;low;close;close5;close10;close15;AC;AD;AO;ATR;BEP;BUP;DMK;FORCE;FRACTAL;ICHIMOKU;BWMFI;Momentum_GAP;MA;OsMA;MACD_GAP;OBV;SAR;RSI;RVI;STDDEV;Stochastic_GAP;WPR
XAUUSD_15;2022.11.01 15:15;1645.23500;1645.87200;1643.74600;1645.14300;1644.74800;1653.95500;1654.08200;-1.90927;2121762.61435;-4.22366;3.25429;-4.34582;-2.21982;0.32681;-1154.94154;0.00000;1648.87000;1.24182;-0.18141;-0.54953;1650.37065;-1.67579;-1.52638;-744884.00000;1651.47359;39.68146;-0.25093;3.80133;3.95081
XAUUSD_15;2022.11.01 15:30;1645.17800;1646.58200;1643.11500;1643.58200;1645.62000;1654.74500;1652.25700;-0.79571;2120499.40206;-4.00029;3.32021;-4.33256;-0.86556;0.24330;-1559.02600;0.00000;1648.07650;2.00521;-0.09571;-5.12481;1650.56533;-1.52706;-1.43905;-746613.00000;1650.72330;36.14751;-0.25840;3.26889;-1.65236
XAUUSD_15;2022.11.01 15:45;1643.55200;1644.79900;1642.77600;1644.45600;1645.68600;1652.67600;1653.91300;-0.58833;2121576.00760;-4.44242;3.24129;-4.24419;-2.22119;0.25585;-1029.77862;0.00000;1647.36950;1.24187;-0.17892;-6.25007;1650.61746;-1.44171;-1.21167;-744984.00000;1650.03303;39.40159;-0.26577;2.74139;-3.25154
XAUUSD_15;2022.11.01 16:00;1644.41900;1650.94100;1644.30900;1645.96800;1645.36000;1652.67500;1655.30400;-0.06035;2120108.39330;-4.23060;3.46171;-2.56088;4.07112;0.45150;-1804.44762;1650.94100;1646.51800;2.25809;-0.12658;8.24102;1650.28420;-1.21634;-0.85942;-742047.00000;1642.09500;44.65623;-0.25229;1.85343;-1.28384
XAUUSD_15;2022.11.01 16:15;1645.95300;1646.59500;1644.39000;1644.57700;1645.27000;1650.44300;1652.67400;0.05678;2118287.35793;-4.15326;3.49550;-2.15232;0.05268;0.43027;-1715.26338;0.00000;1646.71400;1.00547;0.10916;-0.30450;1649.82003;-0.86345;-0.68311;-744240.00000;1642.27192;41.12334;-0.20982;1.14941;1.40458
XAUUSD_15;2022.11.01 16:30;1644.54700;1644.89500;1642.93700;1644.67800;1645.14300;1644.74800;1653.95500;-0.02831;2119434.63883;-4.24203;3.49386;-3.33899;-1.38099;0.40634;-906.85015;0.00000;1646.85850;1.32836;0.08465;-4.67341;1649.55564;-0.68780;-0.52077;-742766.00000;1642.44530;41.48532;-0.14857;0.97616;-1.23963
XAUUSD_15;2022.11.01 16:45;1644.64600;1645.22100;1643.80900;1645.00600;1643.58200;1645.62000;1654.74500;0.03523;2120359.61050;-4.22304;3.36793;-2.28556;-0.87356;0.42809;-784.59769;0.00000;1646.85850;1.06165;0.10943;4.02271;1649.28517;-0.52550;-0.35546;-741436.00000;1642.61522;42.71704;-0.08866;0.90531;-3.64062
XAUUSD_15;2022.11.01 17:00;1645.03900;1646.53900;1644.96000;1646.13700;1644.45600;1645.68600;1652.67600;0.34042;2120926.99492;-3.78671;3.31550;-1.14063;0.43837;0.49986;-382.90277;0.00000;1646.85850;1.36592;0.55461;4.78374;1648.94489;-0.35554;-0.13856;-740280.00000;1642.78173;46.87002;-0.03243;0.98508;2.63050
XAUUSD_15;2022.11.01 17:15;1646.13400;1647.21600;1645.91200;1646.54600;1645.96800;1645.36000;1652.67500;0.09667;2120898.55934;-3.98042;3.20629;-0.25225;1.05175;0.78470;142.45692;0.00000;1646.85850;1.26602;0.58536;4.53852;1648.62674;-0.13757;0.05428;-739250.00000;1642.94492;48.32893;0.00823;1.10785;11.35256
XAUUSD_15;2022.11.01 17:30;1646.51400;1647.69900;1646.38900;1647.18000;1644.57700;1645.27000;1650.44300;0.30653;2121103.28605;-3.67489;2.70129;0.07964;1.38964;0.79151;118.32000;0.00000;1646.85850;1.32860;0.42321;8.26644;1648.33611;0.05376;0.23726;-738264.00000;1643.10484;50.59368;0.03261;1.29656;18.44825
